file,score,sharp0,sharp1,area_ratio0,area_ratio1,center_norm0,center_norm1,tilt0,tilt1,size_balance,status
pair_016_cam0.png,0.647997,93.382,638.281,0.098638,0.088634,0.216047,0.498574,43.129,21.293,0.106839,selected
pair_017_cam0.png,0.597163,78.102,680.986,0.094192,0.073225,0.224232,0.473949,26.299,14.682,0.250484,selected
pair_015_cam0.png,0.573362,130.653,739.365,0.143358,0.078774,0.077009,0.529861,36.926,51.998,0.581496,selected
pair_011_cam0.png,0.564517,150.765,830.472,0.090482,0.070051,0.327024,0.554762,6.398,8.158,0.254538,selected
pair_022_cam0.png,0.515613,102.069,696.228,0.102266,0.089505,0.528943,0.568543,9.011,11.473,0.133086,selected
pair_018_cam0.png,0.502572,136.710,736.670,0.076295,0.065966,0.544277,0.224294,2.157,3.641,0.145219,selected
pair_024_cam0.png,0.498483,191.425,865.635,0.106487,0.065805,0.533092,0.420284,4.538,0.444,0.472243,selected
pair_028_cam0.png,0.496889,132.746,779.239,0.074053,0.071647,0.604689,0.354190,0.000,0.613,0.033027,selected
pair_027_cam0.png,0.491831,114.369,740.364,0.067796,0.073176,0.583938,0.273323,1.745,5.504,0.076317,selected
pair_020_cam0.png,0.462827,110.025,694.402,0.076205,0.066270,0.596924,0.327988,9.346,9.397,0.139463,selected
pair_026_cam0.png,0.434787,95.114,748.391,0.063009,0.077841,0.611553,0.272503,3.262,5.953,0.210613,selected
pair_019_cam0.png,0.410751,93.887,601.920,0.070206,0.063151,0.550211,0.217650,6.369,5.193,0.105813,not_selected
pair_001_cam0.png,0.408891,140.843,762.793,0.086070,0.056221,0.472486,0.360503,3.154,4.609,0.419551,selected
pair_007_cam0.png,0.386216,127.037,670.156,0.094264,0.058964,0.483547,0.414805,13.919,8.852,0.460756,selected
pair_004_cam0.png,0.366844,124.891,720.432,0.105090,0.058641,0.272801,0.602942,5.127,7.269,0.567381,selected
pair_029_cam0.png,0.324137,85.311,653.572,0.081440,0.053503,0.165468,0.541869,2.039,3.453,0.414056,selected
pair_013_cam0.png,0.322745,101.237,621.649,0.105057,0.059603,0.437412,0.508023,9.399,15.203,0.552088,selected
pair_000_cam0.png,0.299378,84.894,547.639,0.072010,0.052062,0.395657,0.236553,4.661,2.551,0.321541,selected
pair_021_cam0.png,0.287193,72.242,499.069,0.088246,0.066520,0.582136,0.394152,8.868,12.701,0.280758,selected
pair_025_cam0.png,0.260706,85.547,625.121,0.091718,0.052938,0.441003,0.371172,0.367,8.023,0.536167,not_selected
pair_012_cam0.png,0.254143,70.169,546.176,0.087265,0.060045,0.329643,0.469957,3.259,0.201,0.369559,not_selected
pair_023_cam0.png,0.217324,87.914,529.851,0.092773,0.057208,0.480900,0.350520,1.206,3.536,0.474270,not_selected
