file,score,sharp0,sharp1,area_ratio0,area_ratio1,center_norm0,center_norm1,tilt0,tilt1,size_balance,status
pair_017_cam0.png,0.717701,140.399,765.952,0.134981,0.082547,0.120121,0.547220,43.116,39.025,0.482091,selected
pair_014_cam0.png,0.562344,223.508,628.111,0.093498,0.063038,0.491652,0.406236,7.041,18.632,0.389179,selected
pair_018_cam0.png,0.556209,87.651,668.194,0.140336,0.081040,0.032981,0.550994,29.460,36.752,0.535698,selected
pair_020_cam0.png,0.554673,123.294,614.098,0.040814,0.039885,0.263192,0.033750,4.431,1.921,0.023017,selected
pair_003_cam0.png,0.549480,167.672,668.081,0.095015,0.062165,0.263139,0.518241,10.281,10.023,0.418000,selected
pair_029_cam0.png,0.539883,121.863,682.348,0.074532,0.056191,0.320195,0.344000,3.654,8.699,0.280607,selected
pair_025_cam0.png,0.534294,168.966,680.894,0.102461,0.084451,0.576827,0.441016,83.507,79.099,0.192709,selected
pair_026_cam0.png,0.465364,138.235,655.436,0.099643,0.082102,0.534959,0.442247,84.643,78.526,0.193024,selected
pair_011_cam0.png,0.440766,199.480,542.530,0.075214,0.056411,0.541796,0.292580,4.516,17.770,0.285698,selected
pair_002_cam0.png,0.420453,137.345,652.740,0.087677,0.050469,0.255330,0.496382,2.644,13.897,0.538687,selected
pair_019_cam0.png,0.415278,140.352,626.311,0.091359,0.059058,0.382736,0.486198,6.457,1.457,0.429490,selected
pair_015_cam0.png,0.377537,127.523,585.859,0.094309,0.056127,0.226775,0.474819,3.463,21.539,0.507618,selected
pair_027_cam0.png,0.371927,147.384,677.182,0.082704,0.053981,0.297416,0.494249,87.096,89.180,0.420281,selected
pair_001_cam0.png,0.352262,140.277,633.110,0.045324,0.078271,0.637638,0.281565,11.831,8.925,0.533138,selected
pair_007_cam0.png,0.341692,132.556,570.705,0.084496,0.052360,0.379165,0.380192,7.308,12.709,0.469640,selected
pair_024_cam0.png,0.282973,158.647,586.981,0.092594,0.059439,0.507469,0.331390,85.927,88.625,0.436158,selected
pair_028_cam0.png,0.220542,106.913,555.673,0.104070,0.064942,0.275687,0.507282,79.041,84.929,0.463024,selected
